Employee#,JobSatisfaction_1to7,TurnoverIntention_1to5,Tenure_Years,Age,SupervisorSupport_1to7,Department,Job_Level,Salary,Midpoint_Salary,Compa_Ratio,Overtime_Hours,Performance_Score,Favorite_Color,Commute_Distance_Miles,Desk_Plant_Count
1,1,4.08,5.8,24,5,Human Resources,Mid,93843.0,80000,1.17,183.0,2.35,Yellow,18.8,4
2,6,2.41,17.19,54,5,Human Resources,Senior,112989.0,100000,1.13,44.0,3.61,Blue,39.4,5
3,5,2.29,3.24,24,7,Accounting and Finance,Mid,100057.0,80000,1.25,61.0,3.28,Red,12.8,5
4,2,4.28,14.4,54,4,Administration,Senior,119045.0,100000,1.19,18.0,2.84,Yellow,24.9,5
5,6,1.67,2.61,23,7,Supply Chain,Entry,71181.0,60000,1.19,19.0,4.36,Blue,4.0,2
6,4,3.39,5.67,28,3,Marketing and Sales,Mid,93517.0,80000,1.17,52.0,3.0,Green,2.9,0
7,3,3.17,4.15,34,3,Accounting and Finance,Mid,101220.0,80000,1.27,18.0,3.68,Blue,39.6,2
8,3,3.86,3.19,29,2,Accounting and Finance,Mid,89257.0,80000,1.12,2.0,3.57,Purple,24.5,2
9,4,3.84,7.34,53,2,Research and Development,Mid,102116.0,80000,1.28,32.0,3.07,Blue,7.2,1
10,1,5.0,6.95,23,1,Accounting and Finance,Mid,109028.0,80000,1.36,97.0,2.26,Purple,13.7,0
11,4,3.07,3.84,31,3,Accounting and Finance,Mid,97007.0,80000,1.21,23.0,3.66,Purple,36.9,0
12,2,3.34,1.58,35,6,Human Resources,Entry,61341.0,60000,1.02,139.0,2.83,Red,11.0,4
13,1,4.83,3.97,26,2,Research and Development,Mid,93987.0,80000,1.17,85.0,2.66,Purple,31.8,1
14,6,1.91,5.4,26,7,Supply Chain,Mid,93532.0,80000,1.17,74.0,3.25,Green,27.3,0
15,4,2.96,5.0,25,7,Administration,Mid,86044.0,80000,1.08,156.0,3.42,Yellow,5.3,1
16,6,1.5,7.58,24,7,Accounting and Finance,Mid,97651.0,80000,1.22,5.0,3.98,Yellow,1.1,1
17,4,3.23,14.48,57,5,Supply Chain,Senior,127047.0,100000,1.27,14.0,3.13,Green,38.9,3
18,2,4.64,6.28,32,2,Human Resources,Mid,85163.0,80000,1.06,168.0,2.03,Green,17.0,4
19,3,3.54,6.83,32,5,Administration,Mid,91892.0,80000,1.15,166.0,2.89,Blue,22.4,2
20,5,2.92,5.42,22,2,Marketing and Sales,Mid,83971.0,80000,1.05,6.0,4.26,Green,3.9,4
21,6,3.23,9.53,28,1,Marketing and Sales,Senior,124199.0,100000,1.24,104.0,2.92,Purple,36.9,2
22,4,3.26,6.7,46,3,Research and Development,Mid,95976.0,80000,1.2,1.0,3.12,Green,1.1,2
23,6,1.88,7.55,38,7,Accounting and Finance,Mid,104002.0,80000,1.3,10.0,5.0,Red,13.1,0
24,2,3.56,13.52,54,4,Administration,Senior,127454.0,100000,1.27,8.0,3.64,Green,15.4,1
25,2,3.34,5.66,41,5,Marketing and Sales,Mid,93218.0,80000,1.17,24.0,3.34,Yellow,32.4,1
26,5,2.41,4.31,23,6,Supply Chain,Mid,84761.0,80000,1.06,34.0,3.43,Green,33.2,1
27,2,4.11,6.39,52,5,Accounting and Finance,Mid,102154.0,80000,1.28,169.0,2.24,Blue,39.9,0
28,1,3.55,9.34,54,3,Supply Chain,Senior,102280.0,100000,1.02,40.0,3.59,Green,7.3,0
29,4,3.25,6.59,30,1,Marketing and Sales,Mid,101181.0,80000,1.26,9.0,3.21,Purple,5.1,3
30,3,3.51,8.96,22,1,Marketing and Sales,Senior,110941.0,100000,1.11,22.0,2.98,Purple,26.9,4
31,4,2.15,3.46,27,7,Human Resources,Mid,75735.0,80000,0.95,0.0,3.81,Purple,11.2,4
32,6,1.27,3.1,31,7,Supply Chain,Mid,98085.0,80000,1.23,2.0,4.75,Green,32.3,2
33,4,3.89,3.7,26,1,Marketing and Sales,Mid,80644.0,80000,1.01,39.0,2.85,Green,32.0,5
34,5,2.84,2.49,26,4,Human Resources,Entry,66948.0,60000,1.12,50.0,3.66,Red,32.5,1
35,3,2.82,5.31,26,6,Human Resources,Mid,70579.0,80000,0.88,20.0,3.77,Yellow,22.7,1
36,4,2.65,3.95,37,5,Human Resources,Mid,76952.0,80000,0.96,33.0,3.65,Blue,12.8,2
37,5,3.42,9.84,40,1,Supply Chain,Senior,109535.0,100000,1.1,8.0,3.19,Blue,27.8,5
38,4,3.42,2.46,35,3,Accounting and Finance,Entry,92462.0,60000,1.54,75.0,3.29,Green,2.6,2
39,6,2.38,11.76,52,5,Marketing and Sales,Senior,128237.0,100000,1.28,35.0,4.54,Red,4.4,4
40,5,2.52,2.91,22,4,Human Resources,Entry,62389.0,60000,1.04,12.0,3.65,Red,19.1,2
41,2,3.86,2.53,22,4,Supply Chain,Entry,80839.0,60000,1.35,48.0,2.77,Red,7.4,2
42,1,4.09,3.18,24,1,Marketing and Sales,Mid,88690.0,80000,1.11,16.0,2.38,Green,1.3,2
43,6,2.42,14.62,65,6,Human Resources,Senior,115338.0,100000,1.15,24.0,4.29,Blue,13.3,5
44,6,1.09,4.89,33,6,Human Resources,Mid,77818.0,80000,0.97,9.0,3.99,Red,10.9,2
45,7,1.96,6.69,41,5,Administration,Mid,79785.0,80000,1.0,106.0,3.52,Red,1.7,1
46,2,3.47,4.52,22,3,Human Resources,Mid,70961.0,80000,0.89,23.0,3.18,Green,20.9,0
47,5,3.39,4.76,33,4,Marketing and Sales,Mid,94439.0,80000,1.18,218.0,1.99,Blue,1.0,4
48,6,2.48,3.79,37,2,Human Resources,Mid,94171.0,80000,1.18,36.0,3.7,Yellow,27.8,3
49,2,4.14,5.14,39,4,Research and Development,Mid,94326.0,80000,1.18,12.0,3.45,Yellow,20.8,2
50,5,3.07,6.56,39,1,Supply Chain,Mid,93692.0,80000,1.17,86.0,2.94,Purple,7.1,0
51,7,2.29,12.59,44,7,Administration,Senior,125357.0,100000,1.25,93.0,4.09,Blue,9.0,4
52,7,2.58,1.78,27,4,Research and Development,Entry,74094.0,60000,1.23,149.0,3.4,Red,23.8,5
53,6,2.03,12.13,31,6,Supply Chain,Senior,120804.0,100000,1.21,10.0,4.26,Green,39.3,4
54,6,2.35,6.68,28,6,Administration,Mid,91535.0,80000,1.14,109.0,3.24,Purple,14.2,1
