Employee_ID,Department,Performance_Score,Avg_Hours_Per_Week
EE01031,Sales,72.6,57
EE01032,Sales,79.4,49.2
EE01033,Sales,75.1,57.3
EE01034,Sales,63.9,56.8
EE01035,Sales,84.6,48.5
EE01036,Sales,74.6,54
EE01037,Sales,85.5,48.5
EE01038,Sales,75.8,52.8
EE01039,Sales,89,52.8
EE01040,Sales,83,51.6
EE01041,Sales,81.7,54.3
EE01042,Sales,73.3,57
EE01043,Sales,71.7,54
EE01044,Sales,82.5,48.1
EE01045,Sales,77.3,51.4
EE01046,Marketing,79.7,46.5
EE01047,Marketing,72.1,53.7
EE01048,Marketing,85.6,49.4
EE01049,Marketing,81,53
EE01050,Marketing,76.6,53.9
EE01051,Marketing,77,49.8
EE01052,Marketing,79,53.5
EE01053,Marketing,82.7,50.9
EE01054,Marketing,93,47.6
EE01055,Marketing,72.9,54.1
EE01056,Marketing,74.5,52.1
EE01057,Marketing,89.7,46.5
EE01058,Marketing,81.1,53.7
EE01059,Marketing,82.5,53.3
EE01060,Marketing,88.5,50.7
EE01061,Finance,75.1,55.5
EE01062,Finance,80.6,49.1
EE01063,Finance,82.1,51.2
EE01064,Finance,79.2,51.8
EE01065,Finance,73,55.2
EE01066,Finance,81.3,49.8
EE01067,Finance,84.8,47.9
EE01068,Finance,65.4,58.7
EE01069,Finance,77,53
EE01070,Finance,74.8,50.9
EE01071,Finance,85.3,48.5
EE01072,Finance,87.3,50.7
EE01073,Finance,77.4,50.9
EE01074,Finance,75.3,51.4
EE01075,Finance,89.4,48.6
EE01076,HR,82.8,48.4
EE01077,HR,74.9,55.2
EE01078,HR,74.3,55.9
EE01079,HR,71.6,52.6
EE01080,HR,78.9,51.7
EE01081,HR,82.8,48
EE01082,HR,70.6,57
EE01083,HR,76.9,53.3
EE01084,HR,79.9,49.1
EE01085,HR,79.1,49.1
EE01086,HR,70.9,56.5
EE01087,HR,73.3,55.7
EE01088,HR,82.1,51.7
EE01089,HR,70.1,55.3
EE01090,HR,86.8,45.2
EE01091,Operations,63.6,57.4
EE01092,Operations,65.6,59.3
EE01093,Operations,73,54.2
EE01094,Operations,69.1,57.4
EE01095,Operations,67.4,55.9
EE01096,Operations,60,57.8
EE01097,Operations,61.2,60.2
EE01098,Operations,68.8,57.1
EE01099,Operations,57.3,62.7
EE01100,Operations,65.5,54.3
EE01101,Operations,60.9,59.9
EE01102,Operations,71.3,56.1
EE01103,Operations,67.8,56.5
EE01104,Operations,60.3,60.2
EE01105,Operations,63.8,58.8
EE01106,IT,81.3,52.1
EE01107,IT,72.9,51.1
EE01108,IT,74.9,54.4
EE01109,IT,82.8,49.8
EE01110,IT,86.9,49
EE01111,IT,80.1,51.6
EE01112,IT,80.7,53.1
EE01113,IT,83.3,48.9
EE01114,IT,87.6,46.8
EE01115,IT,80.4,51.3
EE01116,IT,74.8,53.9
EE01117,IT,76.3,53.6
EE01118,IT,82,54.1
EE01119,IT,81.5,50.2
EE01120,IT,78,53.1
