Month,Channel,Device,Sessions,Checkout_Start,Shipping_Page,Payment_Page,Review_Page,Conversions,Revenue,Ad_Spend
Jan,Search,Desktop,6400,1280,1178,1013,902,262,30916,7200
Jan,Search,Mobile,4200,756,658,467,388,101,11918,4600
Jan,Email,Desktop,2400,480,442,380,338,115,12650,900
Jan,Email,Mobile,1800,324,282,200,166,56,6160,700
Jan,Instagram,Desktop,1100,220,202,174,155,31,3162,1800
Jan,Instagram,Mobile,2200,396,345,245,203,37,3774,2600
Feb,Search,Desktop,6500,1300,1196,1029,916,266,31388,7300
Feb,Search,Mobile,4300,774,666,460,377,99,11682,4700
Feb,Email,Desktop,2350,470,432,372,331,110,12100,900
Feb,Email,Mobile,1850,333,286,197,162,56,6160,700
Feb,Instagram,Desktop,1200,240,221,190,169,34,3468,2100
Feb,Instagram,Mobile,2600,468,402,277,227,43,4386,3000
Mar,Search,Desktop,6600,1320,1201,1021,909,264,31152,7400
Mar,Search,Mobile,4400,792,673,451,365,97,11446,4800
Mar,Email,Desktop,2300,460,419,356,317,106,11660,950
Mar,Email,Mobile,1900,342,291,195,158,55,6050,725
Mar,Instagram,Desktop,1350,270,246,209,186,36,3672,2400
Mar,Instagram,Mobile,3000,540,459,308,249,48,4896,3500
Apr,Search,Desktop,6700,1340,1219,1036,912,261,30798,7600
Apr,Search,Mobile,4500,810,680,442,354,94,11092,4950
Apr,Email,Desktop,2250,450,410,348,306,101,11110,950
Apr,Email,Mobile,1950,351,295,192,154,53,5830,750
Apr,Instagram,Desktop,1500,300,273,232,204,40,4080,2700
Apr,Instagram,Mobile,3500,630,529,344,275,54,5508,4100
May,Search,Desktop,6800,1360,1238,1040,915,258,30444,7800
May,Search,Mobile,4600,828,687,433,342,87,10266,5100
May,Email,Desktop,2200,440,400,336,296,97,10670,1000
May,Email,Mobile,2000,360,299,188,149,52,5720,775
May,Instagram,Desktop,1650,330,300,252,222,43,4386,3000
May,Instagram,Mobile,4000,720,598,377,298,60,6120,4800
Jun,Search,Desktop,6900,1380,1242,1043,918,255,30090,8000
Jun,Search,Mobile,4700,846,694,423,330,85,10030,5300
Jun,Email,Desktop,2150,430,387,325,286,92,10120,1000
Jun,Email,Mobile,2050,369,303,185,144,49,5390,800
Jun,Instagram,Desktop,1800,360,324,272,239,47,4794,3300
Jun,Instagram,Mobile,4600,828,679,414,323,67,6834,5600
